Symbol,Price,Open,Prev Close,Day's Low & High,P/E,EPS,% Chg,52-Wk Range,Volume,Avg Vol,Bid Size,Ask Size,Mkt Cap,Chart,,
PACL.BO,12.00,12.00,12.10,11.21,12.00,-,-9.32,-0.83%,11.01,25.8,997,57149,-,-,246.43M,,,
TYROON.BO,51.25,51.25,49.00,51.25,51.25,-,-1.79,+4.59%,39.1,82.2,200,3913,-,-,174.36M,,,
DILIGENT.BO,16.85,17.25,16.85,16.50,17.50,-,-,0.00%,15.25,62.5,2737,3998,-,-,-,,,
TERASOFT.BO,64.10,63.10,66.00,63.10,66.45,11.52,5.57,-2.88%,26,104.95,46615,81285,-,-,802.01M,,,
GTNINDS.BO,11.79,11.79,10.29,11.79,11.79,-,-7.77,+14.58%,8.1,14.9,25,1840,-,-,206.8M,,,
SALORAINTL.BO,42.00,40.00,41.00,39.00,42.00,-,-,+2.44%,33.8,72.4,5053,3975,-,-,-,,,
TNPETRO.BO,21.30,20.40,20.25,20.30,21.45,-,-4.74,+5.19%,13.05,27.8,17822,59448,-,-,1.92B,,,
BANARBEADS.BO,37.60,36.35,38.05,36.15,39.65,-,-,-1.18%,27.1,65,2989,10584,-,-,-,,,
TANLA.BO,30.55,31.80,30.65,29.15,31.80,18.80,1.62,-0.33%,0.01,52.6,140634,347859,-,-,3.1B,,,
LAKPRE.BO,35.90,36.05,36.00,34.20,36.05,-,-,-0.28%,30.35,64,5130,7886,-,-,-,,,
